x ind,t ind,y,t,x
2,81,-4.980852504,320,0.1
3,81,-4.926974475,320,0.2
4,81,-4.747266007,320,0.3
5,81,-4.297800776,320,0.4
6,81,-2.837399768,320,0.5
7,81,1.715768705,320,0.6
8,81,4.892878745,320,0.7
9,81,7.020546085,320,0.8
10,81,8.619559256,320,0.9
11,81,10,320,1
1,82,-4.999996362,324,0
2,82,-4.984540899,324,0.1
3,82,-4.931754362,324,0.2
4,82,-4.793129961,324,0.3
5,82,-4.345413389,324,0.4
6,82,-3.030407139,324,0.5
7,82,1.441186073,324,0.6
8,82,4.68346995,324,0.7
9,82,6.915056922,324,0.8
10,82,8.57594469,324,0.9
11,82,10,324,1
1,83,-4.999996985,328,0
2,83,-4.985665557,328,0.1
3,83,-4.943908984,328,0.2
4,83,-4.808353722,328,0.3
5,83,-4.420719499,328,0.4
6,83,-3.130023082,328,0.5
7,83,1.195886176,328,0.6
8,83,4.481792602,328,0.7
