name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
HAMLET ハムレット,2019-06-19,83,36500.0,1,1,1
HAMLET ハムレット,2019-06-19,84,55000.0,1,1,1
HAMLET ハムレット,2019-06-19,86,62000.0,1,1,1
HAMLET ハムレット,2019-06-19,87,48875.0,1,1,1
HAMLET ハムレット,2019-06-19,89,29000.0,1,1,1
HAMLET ハムレット,2019-06-19,90,22500.0,1,1,1
HAMLET ハムレット,2019-06-19,91,40000.0,1,1,1
HAMLET ハムレット,2019-06-19,93,37000.0,1,1,1
HAMLET ハムレット,2019-06-19,94,32414.285714285714,1,1,1
HAMLET ハムレット,2019-06-19,97,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-19,98,45000.0,1,1,1
HAMLET ハムレット,2019-06-19,101,37500.0,1,1,1
HAMLET ハムレット,2019-06-19,102,25000.0,1,1,1
HAMLET ハムレット,2019-06-19,103,25000.0,1,1,1
HAMLET ハムレット,2019-06-19,104,32600.0,1,1,1
HAMLET ハムレット,2019-06-19,105,44000.0,1,1,1
HAMLET ハムレット,2019-06-19,107,19000.0,1,1,1
HAMLET ハムレット,2019-06-19,108,25900.0,1,1,1
HAMLET ハムレット,2019-06-19,109,52950.0,1,1,1
HAMLET ハムレット,2019-06-19,112,34062.4375,1,1,1
HAMLET ハムレット,2019-06-19,114,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-19,115,43383.333333333336,1,1,1
HAMLET ハムレット,2019-06-19,116,39750.0,1,1,1
HAMLET ハムレット,2019-06-20,80,60793.11111111111,1,1,1
HAMLET ハムレット,2019-06-20,81,60000.0,1,1,1
HAMLET ハムレット,2019-06-20,82,37000.0,1,1,1
HAMLET ハムレット,2019-06-20,83,55000.0,1,1,1
HAMLET ハムレット,2019-06-20,85,62000.0,1,1,1
HAMLET ハムレット,2019-06-20,86,48875.0,1,1,1
HAMLET ハムレット,2019-06-20,88,29000.0,1,1,1
HAMLET ハムレット,2019-06-20,89,22500.0,1,1,1
HAMLET ハムレット,2019-06-20,90,40000.0,1,1,1
HAMLET ハムレット,2019-06-20,92,35000.0,1,1,1
HAMLET ハムレット,2019-06-20,93,29609.375,1,1,1
HAMLET ハムレット,2019-06-20,96,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-20,97,45000.0,1,1,1
HAMLET ハムレット,2019-06-20,100,37500.0,1,1,1
HAMLET ハムレット,2019-06-20,101,25000.0,1,1,1
HAMLET ハムレット,2019-06-20,102,25000.0,1,1,1
HAMLET ハムレット,2019-06-20,103,29080.0,1,1,1
HAMLET ハムレット,2019-06-20,104,42500.0,1,1,1
HAMLET ハムレット,2019-06-20,106,17500.0,1,1,1
HAMLET ハムレット,2019-06-20,107,25900.0,1,1,1
HAMLET ハムレット,2019-06-20,108,52950.0,1,1,1
HAMLET ハムレット,2019-06-20,111,33937.4375,1,1,1
HAMLET ハムレット,2019-06-20,113,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-20,114,40320.833333333336,1,1,1
HAMLET ハムレット,2019-06-20,115,39000.0,1,1,1
HAMLET ハムレット,2019-06-21,79,60793.11111111111,1,1,1
HAMLET ハムレット,2019-06-21,80,60000.0,1,1,1
HAMLET ハムレット,2019-06-21,81,36600.0,1,1,1
HAMLET ハムレット,2019-06-21,82,55000.0,1,1,1
HAMLET ハムレット,2019-06-21,84,62000.0,1,1,1
HAMLET ハムレット,2019-06-21,85,48875.0,1,1,1
HAMLET ハムレット,2019-06-21,87,29000.0,1,1,1
HAMLET ハムレット,2019-06-21,88,22500.0,1,1,1
HAMLET ハムレット,2019-06-21,89,40000.0,1,1,1
HAMLET ハムレット,2019-06-21,91,35000.0,1,1,1
HAMLET ハムレット,2019-06-21,92,30525.0,1,1,1
HAMLET ハムレット,2019-06-21,95,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-21,96,45000.0,1,1,1
HAMLET ハムレット,2019-06-21,99,37500.0,1,1,1
HAMLET ハムレット,2019-06-21,100,25000.0,1,1,1
HAMLET ハムレット,2019-06-21,101,25000.0,1,1,1
HAMLET ハムレット,2019-06-21,102,28880.0,1,1,1
HAMLET ハムレット,2019-06-21,103,42500.0,1,1,1
HAMLET ハムレット,2019-06-21,105,17500.0,1,1,1
HAMLET ハムレット,2019-06-21,106,25125.0,1,1,1
HAMLET ハムレット,2019-06-21,107,52950.0,1,1,1
HAMLET ハムレット,2019-06-21,110,33562.4375,1,1,1
HAMLET ハムレット,2019-06-21,112,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-21,113,39770.833333333336,1,1,1
HAMLET ハムレット,2019-06-21,114,39500.0,1,1,1
HAMLET ハムレット,2019-06-22,78,63017.25,1,1,1
HAMLET ハムレット,2019-06-22,79,60000.0,1,1,1
HAMLET ハムレット,2019-06-22,80,36600.0,1,1,1
HAMLET ハムレット,2019-06-22,81,55000.0,1,1,1
HAMLET ハムレット,2019-06-22,83,62000.0,1,1,1
HAMLET ハムレット,2019-06-22,84,48875.0,1,1,1
HAMLET ハムレット,2019-06-22,86,28000.0,1,1,1
HAMLET ハムレット,2019-06-22,87,22500.0,1,1,1
HAMLET ハムレット,2019-06-22,88,40000.0,1,1,1
HAMLET ハムレット,2019-06-22,90,35000.0,1,1,1
HAMLET ハムレット,2019-06-22,91,30525.0,1,1,1
HAMLET ハムレット,2019-06-22,94,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-22,95,45000.0,1,1,1
HAMLET ハムレット,2019-06-22,98,37500.0,1,1,1
HAMLET ハムレット,2019-06-22,99,25000.0,1,1,1
HAMLET ハムレット,2019-06-22,100,25000.0,1,1,1
HAMLET ハムレット,2019-06-22,101,28880.0,1,1,1
HAMLET ハムレット,2019-06-22,102,42500.0,1,1,1
HAMLET ハムレット,2019-06-22,104,26250.0,1,1,1
